# Time-averaged data for fix avr
# TimeStep Number-of-rows
# Row c_tpr[2]
500 100
1 294.878
2 306.63
3 314.143
4 290.08
5 295.041
6 299.737
7 286.25
8 280.559
9 290.776
10 282.666
11 299.573
12 305.811
13 306.605
14 298.464
15 297.289
16 301.238
17 303.837
18 287.405
19 296.52
20 304.468
21 285.386
22 295.316
23 274.52
24 286.454
25 281.445
26 286.332
27 278.347
28 291.368
29 288.566
30 287.842
31 294.349
32 328.82
33 324.92
34 344.062
35 349.838
36 341.289
37 327.539
38 355.788
39 327.639
40 340.418
41 325.464
42 356.798
43 344.653
44 337.371
45 332.334
46 338.159
47 345.831
48 321.327
49 323.65
50 326.104
51 324.46
52 334.211
53 323.015
54 325.378
55 327.051
56 320.67
57 312.466
58 325.713
59 332.586
60 301.313
61 325.788
62 334.396
63 320.167
64 311.238
65 319.186
66 336.796
67 324.896
68 320.032
69 302.394
70 314.032
71 306.721
72 311.37
73 313.861
74 308.406
75 313.147
76 314.735
77 304.112
78 305.964
79 291.033
80 289.678
81 310.65
82 310.86
83 307.781
84 302.337
85 297.824
86 307.455
87 311.49
88 304.342
89 304.747
90 319.621
91 294.691
92 296.6
93 298.195
94 293.064
95 299.838
96 304.905
97 319.101
98 306.621
99 292.271
100 317.119
1000 100
1 324.944
2 305.296
3 301.136
4 289.953
5 300.276
6 294.645
7 293.187
8 301.27
9 300.198
10 291.668
11 280.166
12 304.853
13 292.249
14 296.229
15 306.314
16 288.627
17 280.616
18 285.544
19 306.072
20 308.609
21 286.596
22 265.047
23 279.321
24 276.817
25 269.801
26 266.452
27 289.599
28 281.664
29 281.61
30 296.457
31 326.705
32 403.458
33 449.224
34 467.147
35 462.348
36 474.914
37 477.274
38 449.874
39 461.849
40 472.939
41 414.289
42 443.54
43 478.05
44 455.826
45 443.929
46 467.608
47 411.675
48 426.941
49 429.218
50 421.277
51 409.693
52 416.029
53 409.486
54 405.45
55 405.803
56 383.892
57 388.344
58 412.766
59 371.348
60 398.595
61 368.299
62 402.319
63 376.611
64 381.432
65 383.173
66 377.362
67 369.761
68 364.197
69 367.32
70 363.001
71 354.519
72 365.756
73 355.662
74 379.845
75 358.637
76 367.421
77 345.032
78 355.924
79 325.726
80 361.95
81 318.384
82 296.31
83 306.246
84 313.237
85 314.404
86 299.268
87 302.362
88 304.413
89 285.52
90 296.15
91 310.674
92 297.139
93 280.793
94 292.093
95 298.439
96 310.8
97 306.61
98 300.238
99 311.383
100 315.283
1500 100
1 340.891
2 285.308
3 296.541
4 293.837
5 302.55
6 309.135
7 285.865
8 298.79
9 294.183
10 299.35
11 293.069
12 310.05
13 288.486
14 311.883
15 287.731
16 295.728
17 286.085
18 304.417
19 296.139
20 273.702
21 285.453
22 271.332
23 273.97
24 251.739
25 273.646
26 270.345
27 275.839
28 283.585
29 308.352
30 327.092
31 401.066
32 523.211
33 594.316
34 612.002
35 626.075
36 648.421
37 666.982
38 616.93
39 622.944
40 587.914
41 577.15
42 612.101
43 642.823
44 614.573
45 611.373
46 579.491
47 577.051
48 561.519
49 579.096
50 561.036
51 575.818
52 554.942
53 545.291
54 542.562
55 526.385
56 526.497
57 525.557
58 504.525
59 528.106
60 499.087
61 485.547
62 496.146
63 487.501
64 489.037
65 503.684
66 495.591
67 470.919
68 478.515
69 444.395
70 474.865
71 468.109
72 460.328
73 470.824
74 467.935
75 461.383
76 449.622
77 439.375
78 442.083
79 430.966
80 404.907
81 335.458
82 322.809
83 324.041
84 309.65
85 306.781
86 302.597
87 303.605
88 305.267
89 304.937
90 302.258
91 288.865
92 291.536
93 309.677
94 295.373
95 312.095
96 314.257
97 299.119
98 316.333
99 287.731
100 299.654
2000 100
1 298.817
2 279.393
3 294.919
4 309.986
5 306.31
6 281.613
7 298.167
8 290.917
9 308.543
10 285.718
11 297.481
12 302.306
13 300.641
14 289.919
15 296.809
16 303.131
17 281.1
18 297.803
19 285.167
20 296.706
21 271.812
22 255.672
23 278.37
24 277.011
25 266.02
26 284.717
27 307.769
28 314.625
29 357.933
30 389.344
31 470.099
32 635.255
33 723.487
34 745.471
35 786.048
36 841.879
37 792.135
38 805.239
39 815.83
40 806.405
41 852.341
42 799.96
43 812.374
44 793.081
45 752.368
46 743.513
47 758.541
48 750.385
49 733.547
50 735.007
51 709.36
52 712.2
53 703.065
54 703.044
55 716.617
56 696.112
57 657.246
58 651.354
59 675.129
60 660.712
61 692.329
62 630.574
63 658.156
64 649.898
65 629.711
66 625.706
67 626.671
68 605.662
69 613.327
70 605.813
71 606.903
72 630.323
73 612.35
74 581.302
75 599.787
76 590.077
77 550.547
78 566.28
79 570.765
80 510.737
81 351.295
82 331.524
83 319.394
84 304.635
85 308.542
86 310.917
87 303.116
88 306.426
89 299.523
90 292.412
91 300.152
92 301.617
93 295.591
94 304.359
95 309.914
96 308.812
97 285.399
98 288.959
99 306.061
100 303.736
2500 100
1 327.11
2 293.625
3 300.658
4 292.585
5 303.929
6 316.19
7 284.414
8 291.272
9 295.355
10 298.656
11 301.868
12 286.071
13 294.463
14 305.639
15 303.118
16 308.737
17 308.475
18 285.102
19 280.633
20 273.49
21 272.626
22 282.698
23 284.924
24 299.569
25 303.533
26 328.298
27 334.966
28 349.142
29 387.746
30 433.384
31 552.894
32 690.902
33 801.619
34 904.291
35 908.352
36 940.069
37 942.811
38 960.846
39 931.011
40 952.483
41 947.179
42 925.413
43 951.689
44 986.225
45 897.714
46 908.506
47 895.143
48 921.063
49 917.984
50 868.474
51 901.326
52 838.366
53 870.075
54 894.251
55 858.902
56 850.612
57 838.978
58 813.466
59 860.318
60 851.722
61 856.775
62 723.628
63 785.841
64 785.439
65 768.221
66 773.149
67 753.574
68 768.209
69 762.8
70 747.64
71 762.132
72 728.04
73 753.462
74 763.87
75 731.777
76 703.596
77 731.267
78 750.449
79 677.828
80 551.654
81 407.095
82 347.755
83 325.811
84 302.619
85 306.552
86 308.096
87 286.298
88 307.783
89 293.948
90 306.065
91 309.16
92 299.733
93 303.099
94 294.455
95 303.35
96 287.878
97 308.605
98 304.446
99 304.897
100 290.517
3000 100
1 296.302
2 299.736
3 288.599
4 289.709
5 298.35
6 308.171
7 296.067
8 291.203
9 300.743
10 299.45
11 283.803
12 293.551
13 283.058
14 301.808
15 301.666
16 277.162
17 285.277
18 304.618
19 283.331
20 319.069
21 306.976
22 302.762
23 302.024
24 323.427
25 326.435
26 363.955
27 370.254
28 388.738
29 452.195
30 494.547
31 575.23
32 736.296
33 913.355
34 946.196
35 956.777
36 1004.74
37 1059.82
38 1054.89
39 1059.66
40 1024.87
41 1097.29
42 1023.94
43 1067.59
44 1066.35
45 1028.65
46 1028.17
47 1021.45
48 1038.12
49 1037.05
50 1006.03
51 1036.98
52 1036.67
53 964.065
54 1025.78
55 981.778
56 971.532
57 965.999
58 1007.68
59 938.445
60 990.478
61 968.95
62 948.802
63 942.652
64 941.164
65 894.543
66 908.784
67 905.027
68 917.859
69 885.461
70 852.822
71 896.682
72 865.467
73 891.494
74 876.755
75 911.386
76 890.575
77 893.444
78 811.591
79 760.962
80 697.825
81 506.21
82 384.728
83 335.955
84 325.016
85 327.136
86 307.584
87 308.651
88 297.802
89 319.273
90 298.813
91 297.659
92 300.544
93 320.198
94 303.403
95 314.151
96 298.136
97 301.157
98 285.449
99 283.669
100 356.499
3500 100
1 304.851
2 308.799
3 287.041
4 291.53
5 306.089
6 297.787
7 298.8
8 293.207
9 303.063
10 286.663
11 296.514
12 305.829
13 291.391
14 304.108
15 299.717
16 296.273
17 274.587
18 288.644
19 285.94
20 274.473
21 355.427
22 338.005
23 336.26
24 332.204
25 359.437
26 381.591
27 415.235
28 449.514
29 449.839
30 551.205
31 653.24
32 750.594
33 916.532
34 1019.27
35 1094.21
36 1041.57
37 1137.69
38 1145.24
39 1105.63
40 1117.32
41 1183.23
42 1179.67
43 1145.32
44 1204.64
45 1178.34
46 1159.4
47 1157.99
48 1182.31
49 1183.59
50 1112.7
51 1108
52 1124.94
53 1103.68
54 1094.6
55 1115.6
56 1164.57
57 1087.83
58 1041.17
59 1108.71
60 1024.49
61 1051.36
62 1102.03
63 972.907
64 1032.15
65 1079.52
66 1030.02
67 1014.21
68 1016.01
69 1029.66
70 985.473
71 1022.14
72 1034.87
73 1014.3
74 1012.96
75 1043.29
76 1082.37
77 1013.32
78 977.617
79 888.417
80 769.328
81 567.113
82 390.755
83 371.744
84 329.117
85 325.638
86 327.471
87 309.651
88 300.272
89 291.092
90 308.453
91 296.579
92 318.096
93 307.031
94 303.597
95 307.458
96 312.031
97 319.9
98 293.803
99 302.496
100 290.08
4000 100
1 317.825
2 301.664
3 286.669
4 301.87
5 300.26
6 300.873
7 294.568
8 293.317
9 293.584
10 298.407
11 298.338
12 295.37
13 298.54
14 305.344
15 300.077
16 303.733
17 294.065
18 298.192
19 277.367
20 316.464
21 363.686
22 332.887
23 381.099
24 378.252
25 405.315
26 407.453
27 453.688
28 450.876
29 511.499
30 587.824
31 681.138
32 851.764
33 952.075
34 1016.3
35 1141.81
36 1126.98
37 1187.36
38 1230.25
39 1217.27
40 1259.15
41 1400.74
42 1318.83
43 1284.89
44 1271.36
45 1337.66
46 1301.67
47 1316.17
48 1277.09
49 1291.44
50 1259.76
51 1271.68
52 1281.88
53 1251.8
54 1249.1
55 1242.53
56 1244.82
57 1188.98
58 1184.28
59 1193.08
60 1273.85
61 1139.65
62 1196.35
63 1154
64 1172.79
65 1147
66 1134.33
67 1179.66
68 1140.2
69 1118.31
70 1140.15
71 1118.53
72 1142.27
73 1121.76
74 1104.52
75 1143.82
76 1065.01
77 1130.06
78 1092.57
79 1007.99
80 838.932
81 574.516
82 409.17
83 371.13
84 344.836
85 327.131
86 318.916
87 325.019
88 304.979
89 308.715
90 314.992
91 309.147
92 319.948
93 323.599
94 302.32
95 313.233
96 298.297
97 306.733
98 293.33
99 313.922
100 293.662
4500 100
1 319.514
2 306.28
3 314.681
4 303.026
5 311.653
6 297.03
7 300.124
8 297.872
9 284.702
10 291.252
11 297.008
12 306.789
13 300.973
14 308.166
15 303.276
16 285.386
17 287.643
18 295.426
19 317.669
20 328.576
21 356.079
22 425.025
23 389.124
24 420.37
25 429.892
26 433.228
27 488.181
28 500.143
29 568.103
30 615.047
31 727.435
32 854.28
33 999.471
34 1114.56
35 1171.49
36 1224.91
37 1230.57
38 1282.45
39 1259.83
40 1313.9
41 1359.59
42 1362.67
43 1319.99
44 1351.46
45 1423.45
46 1386.69
47 1381.23
48 1375.16
49 1385.38
50 1358.5
51 1369.13
52 1393.54
53 1390.58
54 1328.35
55 1324.28
56 1365.23
57 1357
58 1238.04
59 1295.38
60 1245.16
61 1294.86
62 1326.32
63 1301.4
64 1210.74
65 1294.15
66 1278.9
67 1220.53
68 1248.3
69 1286.97
70 1233.12
71 1231.45
72 1239.67
73 1232.23
74 1246.78
75 1234.49
76 1236.78
77 1184.29
78 1183.8
79 1098.3
80 923.48
81 605.137
82 454.533
83 376.527
84 339.58
85 344.143
86 338.64
87 331.18
88 322.549
89 330.05
90 316.897
91 315.47
92 306.954
93 310.426
94 302.813
95 294.843
96 304.621
97 309.184
98 303.454
99 323.24
100 325.731
5000 100
1 290.59
2 298.686
3 312.465
4 305.423
5 306.579
6 310.169
7 305.057
8 295.437
9 295.596
10 298.745
11 293.342
12 309.227
13 297.53
14 303.517
15 312.173
16 293.286
17 298.77
18 282.882
19 326.489
20 303.126
21 368.385
22 412.015
23 435.03
24 437.57
25 449.446
26 500.283
27 523.677
28 526.511
29 601.926
30 641.607
31 724.362
32 896.142
33 1057.46
34 1229.87
35 1213.78
36 1286.15
37 1303.53
38 1321.87
39 1377.05
40 1460.32
41 1453.24
